Time   | Frame  | Pose? | PValid | Hand? | Raw Handedness   | P_NZ  | LH_NZ | RH_NZ | Hist  | Top-1 Prediction       | Top-2 Prediction      
-----------------------------------------------------------------------------------------------------------------------------
 0.00s |      0 | True  | True   | False | None             |    99 |     0 |     0 |     0 | N/A                    | N/A                   
 0.08s |      3 | True  | True   | False | None             |    99 |     0 |     0 |     0 | N/A                    | N/A                   
 0.16s |      6 | True  | True   | False | None             |    99 |     0 |     0 |     0 | N/A                    | N/A                   
 0.24s |      9 | True  | True   | False | None             |    99 |     0 |     0 |     0 | N/A                    | N/A                   
 0.32s |     12 | True  | True   | False | None             |    99 |     0 |     0 |     0 | N/A                    | N/A                   
 0.40s |     15 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |     1 | N/A                    | N/A                   
 0.49s |     18 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |     2 | N/A                    | N/A                   
 0.57s |     21 | True  | True   | True  | Right:0.98       |    99 |     0 |    63 |     3 | good (74.5%)           | morning (19.3%)       
 0.65s |     24 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |     4 | good (78.4%)           | what (11.5%)          
 0.73s |     27 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |     5 | good (99.9%)           | morning (0.1%)        
 0.81s |     30 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |     6 | good (98.2%)           | what (1.3%)           
 0.89s |     33 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |     7 | good (48.4%)           | morning (44.2%)       
 0.97s |     36 | True  | True   | True  | Right:1.00       |    99 |     0 |    63 |     8 | morning (81.6%)        | what (11.9%)          
 1.05s |     39 | True  | True   | True  | Right:1.00       |    99 |     0 |    63 |     9 | morning (85.9%)        | what (9.4%)           
 1.13s |     42 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |    10 | morning (86.1%)        | what (13.5%)          
 1.21s |     45 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    11 | morning (89.5%)        | what (8.4%)           
 1.29s |     48 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    12 | morning (93.5%)        | what (5.9%)           
 1.37s |     51 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    13 | morning (66.5%)        | what (32.7%)          
 1.46s |     54 | False | False  | True  | Right:0.75       |     0 |     0 |    63 |    14 | morning (83.4%)        | what (16.4%)          
 1.54s |     57 | True  | True   | False | None             |    99 |     0 |     0 |    14 | morning (83.4%)        | what (16.4%)          
 1.62s |     60 | True  | True   | False | None             |    99 |     0 |     0 |    14 | morning (83.4%)        | what (16.4%)          
 1.70s |     63 | True  | True   | True  | Right:0.96       |    99 |     0 |    63 |    15 | morning (90.1%)        | what (9.9%)           
 1.78s |     66 | True  | True   | True  | Right:0.98       |    99 |     0 |    63 |    16 | morning (85.2%)        | what (14.8%)          
 1.86s |     69 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |    17 | what (59.7%)           | morning (40.1%)       
 1.94s |     72 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |    18 | morning (86.3%)        | what (13.6%)          
 2.02s |     75 | True  | True   | True  | Right:0.84       |    99 |     0 |    63 |    19 | morning (65.4%)        | what (33.9%)          
 2.10s |     78 | True  | True   | True  | Left:0.67        |    99 |    63 |     0 |    20 | morning (94.4%)        | what (5.5%)           
 2.18s |     81 | False | False  | True  | Left:0.63        |     0 |    63 |     0 |    21 | morning (96.3%)        | what (3.7%)           
 2.26s |     84 | False | False  | False | None             |     0 |     0 |     0 |    21 | morning (96.3%)        | what (3.7%)           
 2.34s |     87 | True  | True   | True  | Right:0.71       |    99 |     0 |    63 |    22 | morning (75.4%)        | what (20.0%)          
 2.43s |     90 | True  | True   | False | None             |    99 |     0 |     0 |    22 | morning (75.4%)        | what (20.0%)          
 2.51s |     93 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    23 | morning (77.3%)        | good (13.9%)          
 2.59s |     96 | False | False  | True  | Right:0.98       |     0 |     0 |    63 |    24 | morning (98.5%)        | good (0.7%)           
 2.67s |     99 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    25 | morning (57.4%)        | good (25.4%)          
 2.75s |    102 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    26 | morning (53.5%)        | what (30.0%)          
 2.83s |    105 | False | False  | True  | Right:0.98       |     0 |     0 |    63 |    27 | morning (62.3%)        | good (25.3%)          
 2.91s |    108 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    28 | morning (61.5%)        | what (22.6%)          
 2.99s |    111 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    29 | morning (68.3%)        | what (22.1%)          
 3.07s |    114 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | morning (93.1%)        | what (3.5%)           
