Time   | Frame  | Pose  | Hand  | Raw Handedness   | History | Top-1 Pred             | Top-2 Pred            
---------------------------------------------------------------------------------------------------------
 0.00s |      0 | True  | False | None             |       0 | N/A                    | N/A                   
 0.07s |      2 | True  | False | None             |       0 | N/A                    | N/A                   
 0.15s |      4 | True  | True  | Right:0.99       |       1 | N/A                    | N/A                   
 0.22s |      6 | True  | True  | Right:0.99       |       2 | N/A                    | N/A                   
 0.30s |      8 | True  | True  | Right:0.99       |       3 | hello (90.4%)          | good (4.7%)           
 0.37s |     10 | True  | True  | Right:0.99       |       4 | hello (89.5%)          | good (5.6%)           
 0.44s |     12 | True  | True  | Right:0.99       |       5 | hello (74.0%)          | goodbye (13.8%)       
 0.52s |     14 | True  | False | None             |       5 | hello (74.0%)          | goodbye (13.8%)       
 0.59s |     16 | True  | False | None             |       5 | hello (74.0%)          | goodbye (13.8%)       
 0.67s |     18 | True  | True  | Right:0.97       |       6 | hello (43.8%)          | good (40.8%)          
 0.74s |     20 | True  | True  | Right:0.98       |       7 | good (87.3%)           | hello (6.3%)          
 0.81s |     22 | True  | True  | Right:0.99       |       8 | good (95.3%)           | thank you (3.2%)      
 0.89s |     24 | True  | True  | Right:0.98       |       9 | good (98.0%)           | thank you (1.6%)      
 0.96s |     26 | True  | True  | Right:0.97       |      10 | good (98.3%)           | thank you (1.5%)      
 1.03s |     28 | True  | True  | Right:0.94       |      11 | good (98.1%)           | thank you (1.5%)      
 1.11s |     30 | True  | True  | Right:0.95       |      12 | good (97.2%)           | thank you (1.9%)      
 1.18s |     32 | True  | True  | Right:0.99       |      13 | good (96.0%)           | thank you (2.2%)      
 1.26s |     34 | True  | True  | Right:0.98       |      14 | good (91.0%)           | goodbye (5.9%)        
 1.33s |     36 | True  | True  | Right:0.99       |      15 | good (67.6%)           | goodbye (28.9%)       
 1.40s |     38 | True  | True  | Right:0.98       |      16 | good (50.6%)           | goodbye (44.7%)       
 1.48s |     40 | True  | True  | Right:0.99       |      17 | goodbye (78.9%)        | good (15.6%)          
 1.55s |     42 | True  | True  | Right:0.98       |      18 | goodbye (88.0%)        | good (7.2%)           
 1.63s |     44 | True  | True  | Right:0.99       |      19 | goodbye (96.6%)        | good (1.1%)           
 1.70s |     46 | True  | True  | Right:0.99       |      20 | goodbye (97.7%)        | morning (1.0%)        
 1.77s |     48 | True  | True  | Right:0.99       |      21 | goodbye (97.5%)        | morning (1.0%)        
 1.85s |     50 | True  | False | None             |      21 | goodbye (97.5%)        | morning (1.0%)        
 1.92s |     52 | True  | True  | Right:0.90       |      22 | goodbye (98.4%)        | morning (0.9%)        
 2.00s |     54 | True  | True  | Right:0.90       |      23 | goodbye (98.7%)        | morning (0.6%)        
 2.07s |     56 | True  | True  | Right:0.90       |      24 | goodbye (99.3%)        | morning (0.3%)        
 2.14s |     58 | True  | True  | Right:0.89       |      25 | goodbye (98.9%)        | morning (0.6%)        
 2.22s |     60 | True  | True  | Right:0.99       |      26 | goodbye (97.9%)        | morning (1.1%)        
 2.29s |     62 | True  | True  | Right:0.98       |      27 | goodbye (96.7%)        | morning (1.7%)        
 2.36s |     64 | True  | True  | Right:0.99       |      28 | goodbye (94.3%)        | morning (2.4%)        
 2.44s |     66 | True  | True  | Right:0.99       |      29 | goodbye (92.7%)        | morning (2.7%)        
 2.51s |     68 | True  | True  | Right:0.99       |      30 | goodbye (83.0%)        | welcome (11.0%)       
 2.59s |     70 | True  | True  | Right:0.99       |      30 | goodbye (71.2%)        | welcome (21.4%)       
 2.66s |     72 | True  | True  | Right:0.98       |      30 | goodbye (62.5%)        | welcome (28.9%)       
 2.73s |     74 | True  | True  | Right:0.99       |      30 | goodbye (61.0%)        | welcome (30.9%)       
 2.81s |     76 | True  | True  | Right:0.88       |      30 | goodbye (66.6%)        | welcome (26.1%)       
 2.88s |     78 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 2.96s |     80 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.03s |     82 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.10s |     84 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.18s |     86 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.25s |     88 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.33s |     90 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.40s |     92 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.47s |     94 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.55s |     96 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.62s |     98 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.69s |    100 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.77s |    102 | True  | False | None             |      30 | goodbye (66.6%)        | welcome (26.1%)       
 3.84s |    104 | True  | True  | Right:1.00       |      30 | goodbye (76.8%)        | welcome (15.3%)       
 3.92s |    106 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 3.99s |    108 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.06s |    110 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.14s |    112 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.21s |    114 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.29s |    116 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.36s |    118 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.43s |    120 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.51s |    122 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.58s |    124 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
 4.66s |    126 | True  | False | None             |      30 | goodbye (76.8%)        | welcome (15.3%)       
